,,17/09/25,,27/10/2025,,22/11/2025,,03/12/2025,,18/12/2025,,14/1/2026,,13/02/2026,,03/03/2026,,13/03/2026,,31/3/2026,,05/05/2026,,11/06/2026,,01/07/2026,,17/08/2026,
Dreams & Nightmares,16,"1,65","26,4","1,84","29,44","1,66","26,56","1,52","24,32","1,46","23,36","1,41","22,56","1,45","23,2","1,55","24,8","1,68","26,88","1,88","30,08","1,9","30,4","1,65","26,4","1,46","23,36","1,47","23,52"
Fever,35,"0,92","32,2","0,85","29,75","0,8",28,"0,78","27,3","0,77","26,95","0,78","27,3","0,8",28,"0,81","28,35","0,83","29,05","0,84","29,4","0,78","27,3","0,77","26,95","0,78","27,3","0,76","26,6"
Fracture,9,"0,62","5,58","0,6","5,4","0,55","4,95","0,54","4,86","0,52","4,68","0,61","5,49","0,58","5,22","0,65","5,85","0,72","6,48","0,74","6,66","0,85","7,65","0,77","6,93","0,69","6,21","0,63","5,67"
Gallery,6,"1,43","8,58","1,21","7,26","1,2","7,2","1,33","7,98","1,46","8,76","1,34","8,04","1,21","7,26","1,17","7,02","1,21","7,26","1,24","7,44","1,35","8,1","1,23","7,38","1,1","6,6","0,94","5,64"
Horizon,1,,,,,,,,,,,,,,,,,,,"2,2","2,2","2,56","2,56","2,46","2,46","2,14","2,14","2,01","2,01"
Kilowatt,7,"0,43","3,01","0,43","3,01","0,34","2,38","0,29","2,03","0,25","1,75","0,29","2,03","0,25","1,75","0,24","1,68","0,26","1,82","0,31","2,17","0,31","2,17","0,25","1,75","0,2","1,4","0,19","1,33"
Prisma,2,,,,,,,,,,,,,"1,64","3,28","1,66","3,32","1,74","3,48","1,95","3,9","2,26","4,52","2,03","4,06","1,74","3,48","1,75","3,5"
Prisma 2,4,,,,,,,,,,,,,"1,75",7,"1,84","7,36","1,73","6,92","1,88","7,52","2,24","8,96","2,04","8,16","1,74","6,96","1,67","6,68"
Recoil,19,"0,34","6,46","0,41","7,79","0,32","6,08","0,34","6,46","0,31","5,89","0,36","6,84","0,28","5,32","0,29","5,51","0,5","9,5","0,46","8,74","0,54","10,26","0,49","9,31","0,39","7,41","0,39","7,41"
Revolution,9,"0,47","4,23","0,49","4,41","0,36","3,24","0,36","3,24","0,32","2,88","0,35","3,15","0,29","2,61","0,29","2,61","0,35","3,15","0,42","3,78","0,41","3,69","0,37","3,33","0,39","3,51","0,3","2,7"
Sealed Dead Hand Terminal,1,,,,,,,,,,,,,,,,,,,"4,92","4,92","2,58","2,58","1,41","1,41","1,41","1,41","0,65","0,65"
Sealed Genesis Terminal,10,,,,,,,,,,,"0,37","3,7","0,25","2,5","0,24","2,4","0,41","4,1","0,34","3,4","0,21","2,1","0,15","1,5","0,14","1,4","0,1",1
Snakebite,7,,,,,,,"0,69","4,83","0,64","4,48","0,74","5,18","0,69","4,83","0,77","5,39","0,76","5,32","0,76","5,32","0,85","5,95","0,74","5,18","0,66","4,62","0,57","3,99"
,126,,"60,06",,"57,62",,"51,85",,"81,02",,"78,75",,"84,29",,"90,97",,"94,29",,"103,96",,"115,53",,"116,24",,"104,82",,"95,8",,"90,7"
