Colonne 1,U,,07/11/25,Colonne 3,22/11/25,18/12/2025,14/01/2026,03/03/2026,,Colonne 4,09/06/2026,01/07/2026
AK-47 | Legion of Anubis,1,20,"45,13","37,37","40,31","40,36",40,47,46,45,42,"43,5"
Bio-Haz Specialist | SWAT,1,"5,58",22,"17,99","14,08","15,52",21,"19,51",21,19,17,"14,54"
Bloody Darryl The Strapped | The Professionals,1,19,"83,21","71,77","56,37",59,"60,37",55,58,53,47,"40,97"
Charm | Semi-Precious,1,,,,,,,,34,25,19,22
Desert Eagle | Printstream,1,35,47,"38,38",38,"41,18",45,"46,7",49,48,"44,51","44,7"
FAMAS | Commemoration,1,"13,55","49,75","37,8","35,04","37,81",41,"44,64",42,43,"39,41","40,16"
Galil AR | Rainbow Spoon,1,51,61,"58,28","51,98","70,38",59,56,48,47,42,"44,29"
Glock 18 Gama Doppler,1,90,"95,47","93,15","87,71","175,68",136,131,116,108,114,"98,24"
M4A4 | Royal Paladin,1,10,98,"95,12","78,34","87,29",86,"97,55",97,105,93,"100,51"
MAC-10 | Indigo,3,,,,,,,,"7,05",9,"4,25","5,13"
Moto Gloves | Transport,1,90,72,56,"58,34","63,11",67,"65,4",56,55,51,51
Nova | Green Apple,1,,,,,,,,"13,19",14,"13,71","13,87"
P90 | Storm,1,,,,,,,,"2,44","3,1","3,1","3,79"
AK-47 | Aphrodite,,,,,,,,,,27,"24,21","24,85"
,,"334,13","573,56","505,86","460,17","590,33","555,37","562,8","589,68","601,1","554,19","547,55"
