,,,17/09/25,,22/11/25,,18/12/2025,,14/01/2026,,03/03/2026,,05/05/2026,,01/07/2026,
Copenhagen 2024,,,,,,,,,,,,,,,,
,Anubis,1,"3,5","3,5","3,8","3,8","5,1","5,1","4,16","4,16","3,72","3,72","6,84","6,84","3,98","3,98"
,Ancient,1,"3,1","3,1","3,01","3,01","3,33","3,33","3,02","3,02","3,3","3,3","3,8","3,8","4,03","4,03"
,Nuke,1,"3,1","3,1","2,9","2,9","2,72","2,72","3,08","3,08","2,76","2,76","3,18","3,18","3,63","3,63"
,Vertigo,1,"3,32","3,32","3,15","3,15","3,3","3,3",3,3,"3,1","3,1",6,6,"4,26","4,26"
Shanghai 2024,,,,,,,,,,,,,,,,0
,Dust II,1,"3,47","3,47","3,6","3,6","3,33","3,33","3,16","3,16","3,29","3,29","3,99","3,99","3,87","3,87"
,Vertigo,1,"2,78","2,78","2,69","2,69","2,85","2,85","2,87","2,87","3,02","3,02","3,28","3,28","3,33","3,33"
Austin 2025,,,,,,,,,,,,,,0,,0
,Dust II,2,"2,89","5,78","3,24","6,48","2,9","5,8","3,01","6,02",3,6,"3,68","7,36","3,7","7,4"
,Mirage,6,"3,3","19,8","3,34","20,04","3,12","18,72","2,99","17,94","2,99","17,94","3,8","22,8","3,9","23,4"
,Train,1,"3,14","3,14","3,76","3,76","3,38","3,38","4,64","4,64","4,17","4,17","7,21","7,21","4,48","4,48"
Budapest 2025,Dust II,3,,,,,,,"2,92","8,76","2,9","8,7","3,8","11,4","3,74","11,22"
,Inferno,2,,,,,,,"2,53","5,06","2,65","5,3","3,24","6,48","3,51","7,02"
,Mirage,1,,,,,,,"2,87","2,87","2,92","2,92","3,51","3,51","3,9","3,9"
,Nuke,1,,,,,"3,02","3,02","2,53","2,53","2,64","2,64","3,27","3,27","3,66","3,66"
,Overpass,2,,,,,,,"3,52","7,04","3,03","6,06","3,4","6,8","3,93","7,86"
,,,,"47,99",,"49,43",,"51,55",,"74,15",,"72,92",,"95,92",,"92,04"
