,,22/11/25,18/12/2025,,14/01/2026,,3/3/2026,,31/3/2026,,05/05/2026,,01/07/2026,
Ain't A Rental,1,"1,07","1,17","1,17","1,19","1,19","1,3","1,3","1,15","1,15","1,23","1,23","1,01","1,01"
Bolt Energy,1,,"0,1","0,1","0,09","0,09","0,04","0,04","0,06","0,06","0,06","0,06","0,07","0,07"
Boom Detonation,1,,"0,06","0,06","0,04","0,04","0,04","0,04","0,03","0,03","0,03","0,03","0,04","0,04"
Boom Epicenter (Glitter),1,,"0,16","0,16","0,14","0,14","0,14","0,14","0,14","0,14","0,12","0,12","0,13","0,13"
Cubix Connexion,1,"0,06","0,05","0,05","0,06","0,06","0,05","0,05","0,05","0,05","0,04","0,04","0,05","0,05"
Cutie (holo),2,"0,85","0,94","1,88","0,98","1,96","0,95","1,9","1,06","2,12","0,97","1,94","0,85","1,7"
Eyes of Farlow,1,"0,2","0,18","0,18","0,25","0,25","0,21","0,21","0,28","0,28","0,24","0,24","0,25","0,25"
Fly High,1,"0,17","0,17","0,17","0,23","0,23","0,21","0,21","0,16","0,16","0,16","0,16","0,15","0,15"
Good As New,1,"5,89","6,02","6,02","5,91","5,91","5,2","5,2","6,99","6,99","6,96","6,96","4,63","4,63"
Lock In,2,,"0,04","0,08","0,04","0,08","0,4","0,8","0,04","0,08","0,04","0,08","0,04","0,08"
mimicapsule,1,,"0,04","0,04","0,04","0,04","0,04","0,04","0,03","0,03","0,04","0,04","0,03","0,03"
Sent With Love,1,,,,,,,,"0,09","0,09","0,1","0,1","0,07","0,07"
Vice Cursor,1,,,,,,,,"0,15","0,15","0,16","0,16","0,12","0,12"
,,"7,17",,"8,64",,"8,71",,"8,59",,"11,33",,"11,16",,"8,33"
